task,vri_id,mi_number,mi_modification,mi_manufactureYear,mi_Owner_name,org_title,mitypeTitle,mitypeType,mitypeNumber,vriType,result_doc_type,result_docnum,mitypeURL
"Манометры, поверенные в ЦАГИ",170334803,2967020,МТП-1...,,ФАУ &...,ФЕДЕР...,Маном...,МТП-1...,3255-72,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/340926
"Манометры, поверенные в ЦАГИ",170334804,36302,11202...,,ФАУ &...,ФЕДЕР...,Маном...,МО и ВО,20680-00,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/323269
"Манометры, поверенные в ЦАГИ",170334805,62985,МО-250,,ФАУ &...,ФЕДЕР...,Маном...,МО,490-50,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/360574
"Манометры, поверенные в ЦАГИ",170334806,63042,МО-250,,ФАУ &...,ФЕДЕР...,Маном...,МО,490-50,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/360574
"Манометры, поверенные в ЦАГИ",170334807,75617,МТ-3И...,,ФАУ &...,ФЕДЕР...,Маном...,МТ-2И...,17213-06,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/317048
"Манометры, поверенные в ЦАГИ",170334808,111504,МО-160,,ФАУ &...,ФЕДЕР...,Маном...,МО,490-50,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/360574
"Манометры, поверенные в ЦАГИ",170334809,55421,МО-160,,ФАУ &...,ФЕДЕР...,Маном...,МО,490-50,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/360574
"Манометры, поверенные в ЦАГИ",170334810,Д01,МП4-У...,,ФАУ &...,ФЕДЕР...,Маном...,"МП4, ...",2261-67,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/326580
"Манометры, поверенные в ЦАГИ",170334811,Д02,МП4-У...,,ФАУ &...,ФЕДЕР...,Маном...,"МП4, ...",2261-67,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/326580
"Манометры, поверенные в ЦАГИ",170334812,Д03,МП4-У...,,ФАУ &...,ФЕДЕР...,Маном...,"МП4, ...",2261-67,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/326580
"Манометры, поверенные в ЦАГИ",170334813,Д04,МП4-У...,,ФАУ &...,ФЕДЕР...,Маном...,"МП4, ...",2261-67,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/326580
"Манометры, поверенные в ЦАГИ",170334814,1553986,ОБМГн...,,ФАУ &...,ФЕДЕР...,Маном...,ОБМ1-...,1778-63,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/318127
